Post_Date,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,ERR%,ERR_Level
2022-12-27,Twitter,#Challenge,Post,Japan,3074269,18233,37713,28599,2.750084654270658,Average
2022-10-08,YouTube,#Dance,Post,Brazil,4067125,190686,12963,11560,5.291428220180102,High
2022-03-21,YouTube,#Fitness,Reel,Japan,1173157,137342,95328,47250,23.860404020945193,Excellent
2023-07-12,TikTok,#Fitness,Reel,Germany,2141884,23466,66627,40003,6.0739050294040196,Excellent
2022-07-08,Twitter,#Comedy,Post,India,4567233,66980,96596,49121,4.6570210015560844,High
2022-03-11,Twitter,#Gaming,Post,UK,506074,69145,31191,43362,28.39466165027249,Excellent
2023-03-20,YouTube,#Comedy,Tweet,UK,3210080,195970,75414,4473,8.593461845187658,Excellent
2023-04-14,TikTok,#Music,Reel,India,1347102,274212,15298,28342,23.595243715769108,Excellent
2022-12-18,TikTok,#Tech,Post,Australia,3843536,90333,10903,30677,3.432074006852024,Average
2022-12-06,Instagram,#Viral,Reel,Germany,965073,263310,39207,27324,34.17782903469478,Excellent
2023-05-20,YouTube,#Education,Post,Canada,3096420,364521,73308,29082,15.07905904237797,Excellent
2023-10-15,YouTube,#Gaming,Tweet,Germany,2723916,1349,81918,11870,3.4926554269661763,Average
2022-09-01,TikTok,#Music,Live Stream,UK,2249678,46464,83075,5710,6.011927040225312,Excellent
2022-07-22,Twitter,#Viral,Shorts,Germany,3311289,352538,55203,5369,12.475806249469617,Excellent
2023-05-24,Instagram,#Music,Tweet,India,3588997,241125,65026,30917,9.391704701898608,Excellent
2022-07-10,Twitter,#Fitness,Live Stream,USA,3926751,302919,49216,30399,9.741743237602792,Excellent
2022-06-13,YouTube,#Music,Tweet,UK,2750317,59766,75524,27938,5.934879506616873,High
2023-06-26,TikTok,#Challenge,Reel,Germany,4655757,383024,45530,48504,10.24662584408937,Excellent
2023-10-19,Instagram,#Fitness,Video,USA,4844012,452777,44862,23870,10.766055079962642,Excellent
2023-08-06,Twitter,#Dance,Video,USA,3868789,188191,4660,26605,5.672472703990835,High
2022-11-15,Twitter,#Viral,Tweet,Australia,2517364,418305,51641,34605,20.04283051636553,Excellent
2022-12-18,Instagram,#Dance,Video,Brazil,1994041,310266,87995,40217,21.989417469349927,Excellent
2022-05-18,TikTok,#Education,Shorts,Australia,1402998,241244,56779,14849,22.300245616886123,Excellent
2022-11-05,YouTube,#Fashion,Live Stream,Brazil,702950,17361,62405,10538,12.846432889963724,Excellent
2022-07-17,Instagram,#Education,Tweet,Canada,1599554,364748,16705,8949,24.406928431300226,Excellent
2022-05-22,TikTok,#Tech,Post,Australia,4600976,443617,98343,18038,12.171287135599055,Excellent
2023-04-30,Twitter,#Viral,Shorts,USA,2495410,213884,16804,17614,9.950348840471104,Excellent
2023-04-05,TikTok,#Dance,Video,Germany,1838563,289125,77191,27066,21.396166462612378,Excellent
2022-05-25,YouTube,#Tech,Shorts,India,2920650,416403,56902,2675,16.297057161933132,Excellent
2023-09-14,TikTok,#Viral,Video,Germany,1772623,361245,30503,13260,22.847949056285515,Excellent
2023-10-01,Instagram,#Comedy,Shorts,Australia,2484315,101605,80028,36281,8.771592974320889,Excellent
2022-07-30,YouTube,#Comedy,Live Stream,India,4927173,22341,38730,42476,2.101549915133891,Average
2022-10-18,TikTok,#Challenge,Video,UK,3924183,283030,30676,43977,9.114839955221253,Excellent
2022-09-10,Instagram,#Music,Post,USA,4646060,21362,31562,19778,1.5648097527797746,Average
2022-12-12,YouTube,#Fitness,Video,USA,3901900,20166,30661,25363,1.9526384581870373,Average
2022-10-20,Instagram,#Fashion,Video,Japan,962137,319381,69098,38387,44.36644677421199,Excellent
2023-05-20,TikTok,#Education,Video,Germany,3859007,277223,81798,46985,10.52099672273204,Excellent
2023-02-15,Twitter,#Challenge,Shorts,UK,3837223,140163,85932,40674,6.952137001159432,Excellent
2022-11-11,Instagram,#Comedy,Post,UK,1029488,449148,87211,35005,55.49982127037906,Excellent
2022-04-18,Twitter,#Fashion,Post,Germany,879364,232290,7501,23547,29.946415818705336,Excellent
2023-10-22,TikTok,#Comedy,Live Stream,USA,4828597,131837,43770,9395,3.8313820764085302,High
2023-02-24,YouTube,#Education,Video,India,3487375,107303,83451,45313,6.769188859815764,Excellent
2023-01-14,TikTok,#Dance,Tweet,India,3418884,311286,82479,7832,11.74643538651794,Excellent
2023-10-06,YouTube,#Challenge,Reel,Brazil,1337059,318166,72711,32791,31.686559830194476,Excellent
2023-07-25,TikTok,#Education,Live Stream,Canada,707841,133933,46058,45912,31.91437060017716,Excellent
2022-04-30,TikTok,#Fitness,Shorts,Australia,1851460,345987,13274,43872,21.77378933382304,Excellent
2022-10-08,Instagram,#Fashion,Tweet,Canada,1438248,223413,84930,42774,24.412827273182373,Excellent
2023-02-02,Instagram,#Fashion,Live Stream,Brazil,4027409,80497,44156,14597,3.457557948547069,Average
2023-04-16,Instagram,#Music,Video,India,3488909,443844,19877,22056,13.923464326527291,Excellent
2022-12-23,TikTok,#Fitness,Video,USA,1089083,150418,45387,25632,20.332426454182094,Excellent
2023-09-20,TikTok,#Fashion,Live Stream,Germany,682046,480038,71997,18117,83.59436167062046,Excellent
2022-11-28,YouTube,#Tech,Live Stream,Brazil,4849297,86843,16843,14705,2.4414054243326406,Average
2022-02-24,Instagram,#Challenge,Tweet,USA,4283565,107901,84854,4738,4.610482156801636,High
2023-02-05,Twitter,#Viral,Post,USA,3940355,82304,68754,15897,4.237054783135022,High
2022-04-08,Instagram,#Education,Reel,Canada,964498,194879,76029,34998,31.716602833805773,Excellent
2023-02-13,TikTok,#Tech,Shorts,UK,636824,363548,17456,8176,61.11264650829743,Excellent
2022-05-31,TikTok,#Comedy,Reel,India,4179125,94325,72341,7328,4.163407411838603,High
2022-05-29,Instagram,#Gaming,Video,Brazil,1292958,95304,3716,44880,11.129518514909224,Excellent
2023-04-24,Instagram,#Viral,Reel,UK,4103477,75909,5645,4052,2.0861820353812144,Average
2022-03-01,Twitter,#Education,Reel,Germany,3529777,68367,38326,879,3.0475579618769117,Average
2023-03-28,Instagram,#Fashion,Reel,USA,4593170,34210,33344,11022,1.7107139513669207,Average
2022-07-09,TikTok,#Challenge,Shorts,Brazil,3251679,498580,96093,9968,18.594732136843767,Excellent
2023-03-06,Twitter,#Dance,Shorts,Canada,2127698,193956,14856,32442,11.338733222478002,Excellent
2023-05-02,YouTube,#Education,Shorts,Australia,4765117,177035,49884,46238,5.732430074644547,High
2022-09-13,Twitter,#Fitness,Reel,India,2114283,462542,14404,37153,24.31552445911924,Excellent
2022-10-20,YouTube,#Fashion,Reel,Canada,4391275,392281,14429,27404,9.885830425104327,Excellent
2022-12-02,TikTok,#Gaming,Post,India,1246500,471547,15048,40514,42.28712394705175,Excellent
2023-01-22,Twitter,#Music,Tweet,Germany,4555977,1087,23157,12611,0.8089373585511955,Low
2022-07-26,Twitter,#Gaming,Tweet,India,400424,56569,59897,49341,41.40785767086888,Excellent
2022-02-08,Instagram,#Challenge,Video,Brazil,3201846,335416,50986,16715,12.590143311077423,Excellent
2023-06-24,Twitter,#Comedy,Tweet,Australia,4253909,448284,39383,32995,12.239613024162011,Excellent
2022-06-12,TikTok,#Fitness,Live Stream,Australia,1551922,47511,7404,25497,5.181445974733266,High
2022-04-07,YouTube,#Challenge,Post,Germany,3587143,430347,96428,42640,15.873774756122073,Excellent
2022-07-13,Instagram,#Fashion,Video,USA,2252593,61466,13181,29007,4.6015414235949414,High
2023-04-06,YouTube,#Challenge,Video,Australia,2547290,382792,78654,30532,19.313780527541034,Excellent
2023-10-30,YouTube,#Viral,Reel,USA,2946297,223304,83502,10855,10.781703270240577,Excellent
2023-01-24,Twitter,#Education,Video,India,4459268,356292,52389,33857,9.924005464574007,Excellent
2022-10-28,Instagram,#Music,Live Stream,Australia,1630617,435112,71742,49750,34.13456378781774,Excellent
2022-05-08,Instagram,#Education,Live Stream,USA,4709770,389553,55435,16799,9.804873698715648,Excellent
2023-04-25,Instagram,#Fitness,Tweet,Australia,2275387,271817,72208,27046,16.30803902808621,Excellent
2023-12-25,TikTok,#Tech,Tweet,Brazil,2784320,373955,22997,15361,14.808391276864727,Excellent
2023-05-19,Twitter,#Music,Tweet,USA,3674194,19972,97555,24310,3.8603568564969626,High
2023-11-27,YouTube,#Music,Post,UK,2126429,36274,51278,44234,6.197526463380625,Excellent
2022-11-15,YouTube,#Fitness,Shorts,USA,1598712,280260,58128,4485,21.44682719589269,Excellent
2022-11-21,Twitter,#Fashion,Video,Australia,3464211,115302,63150,37858,6.244134667316743,Excellent
2022-10-27,Twitter,#Fitness,Reel,UK,1519290,495937,13211,49107,36.7444661651166,Excellent
2022-10-05,Instagram,#Fitness,Tweet,Canada,4888613,414422,11933,23903,9.210342483645157,Excellent
2022-02-18,Twitter,#Viral,Shorts,USA,3712060,302466,63802,49953,11.212668976255772,Excellent
2023-09-19,Instagram,#Tech,Reel,UK,4003071,22251,13517,13392,1.2280571591160887,Average
2022-01-10,Instagram,#Dance,Video,Germany,681752,197632,98860,19379,46.3322439831493,Excellent
2022-11-27,Instagram,#Gaming,Shorts,Germany,4684548,122401,82864,42106,5.2805734939635585,High
2022-11-25,Instagram,#Tech,Video,UK,3916842,292224,72417,38211,10.285122555364755,Excellent
2022-08-09,TikTok,#Dance,Reel,UK,798887,326922,87308,21689,54.56578965485732,Excellent
2022-12-19,Twitter,#Gaming,Video,Australia,688077,243607,79071,12078,48.650950402353224,Excellent
2022-08-21,Twitter,#Challenge,Reel,Japan,1520250,214233,80,10917,14.815326426574577,Excellent
2023-05-11,TikTok,#Fashion,Post,Australia,496652,106618,64875,44200,43.42940328439229,Excellent
2022-07-25,TikTok,#Education,Reel,India,479620,337321,99486,26524,96.60376965097369,Excellent
2022-01-27,YouTube,#Education,Reel,USA,4221739,291223,61415,44293,9.402073410980641,Excellent
2023-08-18,Twitter,#Education,Live Stream,Brazil,4425196,324343,33641,22289,8.593359480574419,Excellent
2023-12-14,Instagram,#Comedy,Shorts,UK,4236960,259668,86293,16169,8.546929874249463,Excellent
2023-08-31,TikTok,#Education,Reel,India,2488223,177673,86535,39991,12.225552130978615,Excellent
2023-11-22,YouTube,#Dance,Live Stream,UK,2809035,359231,78623,27822,16.57779272953167,Excellent
2022-11-03,YouTube,#Music,Shorts,Brazil,444252,398838,7767,19133,95.83254549219812,Excellent
2022-07-21,Instagram,#Fashion,Reel,India,907575,42770,5219,47956,10.571578106492577,Excellent
2022-06-02,TikTok,#Dance,Post,Canada,2440215,199343,53628,10359,10.79126224533494,Excellent
2023-09-20,TikTok,#Comedy,Shorts,USA,3982001,131915,64092,22170,5.4790794879257945,High
2023-06-12,Twitter,#Fashion,Reel,Brazil,3802724,457464,83495,19409,14.73596295708024,Excellent
2023-10-07,YouTube,#Dance,Shorts,Australia,3049554,441149,46483,36909,17.200580806242485,Excellent
2022-07-14,YouTube,#Fashion,Video,Germany,3186810,312491,66586,7390,12.12708005811454,Excellent
2022-09-20,YouTube,#Gaming,Live Stream,Australia,810296,77866,87591,41350,25.522401690246525,Excellent
2023-07-22,Twitter,#Dance,Post,UK,4459224,957,54290,47674,2.3080473194439213,Average
2023-01-03,Instagram,#Viral,Post,USA,741152,226355,58251,46227,44.63767216441432,Excellent
2022-10-17,Twitter,#Fashion,Tweet,USA,2945128,368541,66690,3800,14.907026112277633,Excellent
2022-07-08,Twitter,#Music,Post,Canada,2302342,153529,52488,41257,10.740107247315994,Excellent
2023-12-15,YouTube,#Fashion,Shorts,Australia,469793,295293,29190,9480,71.08726609379025,Excellent
2022-06-25,Twitter,#Comedy,Live Stream,UK,2452099,320043,91765,2987,16.915915711396647,Excellent
2022-07-13,TikTok,#Tech,Live Stream,UK,2651939,209375,2127,12291,8.438844181559228,Excellent
2023-10-23,TikTok,#Fitness,Shorts,India,1580449,299597,35471,1908,21.3215358420297,Excellent
2023-02-19,Instagram,#Dance,Tweet,India,4764800,52536,65976,47528,3.4847212894560107,Average
2022-04-30,Twitter,#Comedy,Tweet,Japan,4336145,295452,2342,22411,7.384554713922159,Excellent
2022-07-13,Instagram,#Viral,Shorts,Japan,4316287,188239,34891,39029,6.073715672752993,Excellent
2022-08-03,Twitter,#Gaming,Tweet,Japan,1516746,272088,48475,36816,23.56221806419796,Excellent
2023-03-02,TikTok,#Fitness,Post,USA,4497673,460735,96637,47633,13.451511481603932,Excellent
2022-04-15,YouTube,#Dance,Live Stream,UK,1200639,381211,2574,40242,35.31677714950122,Excellent
2022-11-22,YouTube,#Viral,Tweet,USA,3115115,81186,14964,1885,3.147074827093061,Average
2022-06-29,TikTok,#Dance,Tweet,Japan,2177828,478703,86167,17109,26.72290924719491,Excellent
2023-11-26,Instagram,#Music,Reel,UK,4422912,199110,95413,32057,7.38382314637958,Excellent
2022-08-09,Instagram,#Tech,Post,UK,4326885,300734,1870,1496,7.0281507366153715,Excellent
2022-12-25,YouTube,#Music,Live Stream,Germany,4732360,84552,21664,36363,3.012851938567649,Average
2023-03-05,YouTube,#Gaming,Video,Japan,2510808,348707,17968,46925,16.472784856508344,Excellent
2023-08-28,Instagram,#Education,Video,USA,2710672,252420,23167,5670,10.375914164458113,Excellent
2022-07-14,TikTok,#Fitness,Shorts,Australia,4096796,365062,58371,48138,11.510726919280335,Excellent
2023-03-29,YouTube,#Gaming,Live Stream,UK,940184,131729,1559,12135,15.467504233213925,Excellent
2023-05-08,Twitter,#Viral,Shorts,USA,2184148,326178,46185,1902,17.135514626298217,Excellent
2022-07-31,Instagram,#Challenge,Shorts,Australia,1498512,205870,16834,34865,17.18831747760445,Excellent
2022-05-17,Instagram,#Dance,Video,Germany,4300552,428951,18627,12148,10.689930036888288,Excellent
2023-12-16,YouTube,#Challenge,Reel,Japan,3267055,133930,81976,22080,7.284419760304004,Excellent
2022-03-08,TikTok,#Fitness,Post,Canada,2095875,78244,43598,16006,6.57710979900996,Excellent
2022-07-11,YouTube,#Education,Shorts,USA,1465227,158579,8809,33511,13.711117799494549,Excellent
2023-10-25,YouTube,#Viral,Reel,Japan,1715566,326676,69635,19235,24.22209346652941,Excellent
2023-08-16,Instagram,#Fitness,Reel,Brazil,4708687,133736,49028,3765,3.9613803168484125,High
2022-01-21,YouTube,#Challenge,Tweet,UK,1091635,198291,5604,31314,21.546487608037484,Excellent
2022-04-30,TikTok,#Dance,Reel,UK,1111002,266261,22269,39363,29.513268202937525,Excellent
2022-12-16,YouTube,#Comedy,Post,Japan,869375,123390,59716,46989,26.466714593817397,Excellent
2023-12-30,Twitter,#Gaming,Video,Japan,2551247,384714,36284,18974,17.245370597202076,Excellent
2022-10-29,YouTube,#Viral,Shorts,India,920528,400658,58158,26810,52.75515790937375,Excellent
2023-03-04,YouTube,#Viral,Shorts,Japan,2846948,55585,27235,29699,3.95226748082508,High
2023-11-25,Instagram,#Fashion,Shorts,UK,2801638,111973,60593,35663,7.432402044803791,Excellent
2023-08-16,TikTok,#Dance,Video,Canada,1556267,56055,12612,20474,5.727873173433608,High
2023-09-26,TikTok,#Viral,Post,Brazil,1828433,126683,82181,48618,14.082112934955779,Excellent
2022-03-26,YouTube,#Dance,Post,UK,3988715,211316,4804,33837,6.26660465839249,Excellent
2022-10-01,TikTok,#Fashion,Video,Canada,3290858,250085,41283,20251,9.469232643888008,Excellent
2022-01-21,YouTube,#Viral,Tweet,USA,3703315,449350,54600,26510,14.323923295749887,Excellent
2022-10-29,TikTok,#Education,Post,Canada,506215,303740,98918,36904,86.83306500202484,Excellent
2022-07-01,YouTube,#Fitness,Post,Canada,762333,406861,79834,13785,65.65109997861826,Excellent
2023-05-03,Twitter,#Dance,Post,Brazil,3252738,420498,5811,2661,13.187966568472467,Excellent
2023-11-07,Instagram,#Fashion,Tweet,Germany,4080585,203708,22677,23693,6.128484028638051,Excellent
2023-03-23,TikTok,#Comedy,Tweet,Germany,1450112,409512,91982,9118,35.21190087386354,Excellent
2022-03-06,Twitter,#Gaming,Post,UK,2512592,418988,4122,18706,17.584072543413335,Excellent
2023-11-06,TikTok,#Fitness,Video,Japan,3714148,291659,27722,28024,9.353558339624591,Excellent
2022-06-07,Twitter,#Challenge,Tweet,USA,2276898,337038,56049,13735,17.867379215054868,Excellent
2023-12-02,Instagram,#Fitness,Post,Australia,2787914,198350,96753,45466,12.215907664296676,Excellent
2023-02-10,Instagram,#Comedy,Tweet,USA,893271,69359,66059,43386,20.01676982684986,Excellent
2022-12-28,YouTube,#Dance,Post,Japan,2061951,381908,33698,25476,21.39148796455396,Excellent
2022-04-01,Twitter,#Music,Reel,Canada,3823345,32222,64447,44453,3.69106109963919,High
2022-10-23,Twitter,#Fitness,Live Stream,USA,4330038,118835,19134,27781,3.827910979072239,High
2023-02-06,YouTube,#Fitness,Video,Canada,2714016,86422,85827,36320,7.684884687488946,Excellent
2022-03-11,Instagram,#Music,Tweet,Canada,4588770,448601,52948,32818,11.645103154004232,Excellent
2022-10-18,Instagram,#Tech,Video,Canada,485489,265199,14446,34447,64.69600753055167,Excellent
2022-02-04,YouTube,#Education,Post,UK,2688752,472554,2742,14495,18.216295143620535,Excellent
2023-01-06,YouTube,#Comedy,Post,Brazil,2417512,154294,98184,18043,11.19005820860455,Excellent
2023-01-16,TikTok,#Comedy,Tweet,Japan,1612356,488560,75088,11999,35.702227051594065,Excellent
2023-04-28,Twitter,#Dance,Live Stream,UK,4041579,326486,69020,47705,10.966283227421759,Excellent
2022-05-01,Twitter,#Dance,Post,Canada,2214561,156292,18753,3643,8.068777513918109,Excellent
2023-01-18,YouTube,#Dance,Post,UK,2524440,262085,98352,37571,15.76618972920727,Excellent
2022-03-07,Instagram,#Viral,Reel,Canada,4675636,328475,4510,45120,8.086707348476228,Excellent
2023-11-20,YouTube,#Tech,Live Stream,UK,1093553,43035,52724,29091,11.41691349207583,Excellent
2023-02-02,Twitter,#Music,Tweet,Australia,2860355,157614,70326,47778,9.63929302481685,Excellent
2023-02-10,Twitter,#Fitness,Video,USA,4643597,200851,87149,35230,6.960767697972067,Excellent
2023-01-21,Twitter,#Challenge,Reel,Brazil,4889936,142520,56142,26214,4.598751394701281,High
2022-01-24,TikTok,#Education,Reel,Japan,1483481,353517,41615,11414,27.404867335678716,Excellent
2022-12-08,Instagram,#Dance,Tweet,Germany,734933,421895,50675,12150,65.95431148145478,Excellent
2023-06-23,YouTube,#Fashion,Reel,Japan,4485712,464196,67958,45876,12.886025674407986,Excellent
2023-01-20,Twitter,#Comedy,Shorts,UK,1165962,105888,48384,47511,17.30613862201341,Excellent
2022-01-15,Twitter,#Gaming,Tweet,India,791211,251591,9900,36509,37.66378374415927,Excellent
2023-10-18,YouTube,#Dance,Post,UK,755921,275570,36739,37643,46.29478477248284,Excellent
2022-11-05,Instagram,#Fitness,Tweet,India,1966067,136472,63614,18304,11.107963258627503,Excellent
2023-10-22,Twitter,#Fashion,Tweet,Germany,3275624,455318,72364,39134,17.304061760446253,Excellent
2022-02-20,Twitter,#Comedy,Live Stream,India,4914869,200375,2393,37178,4.88204263430012,High
2023-06-12,Twitter,#Music,Tweet,Japan,694970,180020,88660,5645,39.47292688893046,Excellent
2023-07-01,YouTube,#Comedy,Tweet,Australia,2507996,317525,50404,25462,15.685471587673982,Excellent
2022-07-18,Twitter,#Dance,Reel,USA,2122512,277831,95870,1487,17.676602063969487,Excellent
2022-05-15,Twitter,#Dance,Reel,USA,4445772,159466,75212,24528,5.830393461473058,High
2023-11-05,Instagram,#Education,Video,UK,495496,300566,97031,48197,89.96924294040718,Excellent
2023-04-25,TikTok,#Challenge,Post,Germany,1035819,94853,68842,31836,18.87694664801476,Excellent
